"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Earliest Priority Date,Title,Applicants,Inventors,Owners,URL,Legal Status
749,WO,A1,WO 2021/009302 A1,000-137-304-948-35X,2021-01-21,2021,EP 2020070178 W,2020-07-16,2019-07-18,HOST-INDEPENDENT EXPRESSION OF BACTERIOPHAGES,UNIV MUENCHEN TECH,VOGELE KILIAN;;SIMMEL FRIEDRICH;;EMSLANDER QUIRIN,,https://lens.org/000-137-304-948-35X,PENDING
750,US,A1,US 2016/0122792 A1,027-813-931-905-464,2016-05-05,2016,US 201414775648 A,2014-03-14,2013-03-14,"HIGH EFFICIENCY, SMALL VOLUME NUCLEIC ACID SYNTHESIS",LIFE TECHNOLOGIES CORP;;THERMO FISHER SCIENT GENEART GMBH,PETERSON TODD;;TREFZER AXEL;;POEHMERER THOMAS;;KATZEN FEDERICO;;LIANG XIQUAN,THERMO FISHER SCIENTIFIC GENEART GMBH (2015-10-14);;LIFE TECHNOLOGIES CORPORATION (2015-09-25),https://lens.org/027-813-931-905-464,ACTIVE
751,CN,A,CN 105793431 A,101-680-504-141-725,2016-07-20,2016,CN 201480065279 A,2014-12-10,2013-12-12,Processes to prepare elongated 2-ketoacids and c6-c10 compounds therefrom via genetic modifications to microbial metabolic pathways,DOW GLOBAL TECHNOLOGIES INC,SANGHANI PARESH C;;STOWERS CHRISTOPHER C;;RODRIGUEZ BRANDON A;;VENKATESWARAN AMUDHAN,,https://lens.org/101-680-504-141-725,DISCONTINUED
752,CN,A,CN 114196648 A,108-792-512-660-294,2022-03-18,2022,CN 202111509635 A,2021-09-10,2021-09-10,Olicanol synthase variant T and application thereof,BEIJING BLUE CRYSTAL MICROORGANISM SCIENCE AND TECH LIMITED COMPANY;;SHENZHEN BLUE CRYSTAL BIOTECHNOLOGY LTD COMPANY,DU DEYAO;;WANG GAOYAN;;ZHANG QIAN;;ZONG ZHEN;;LI MINGYUE;;QIU YUEYUE;;YIN JIN;;ZHANG HAOQIAN,,https://lens.org/108-792-512-660-294,ACTIVE
753,CN,A,CN 109313741 A,091-900-770-311-222,2019-02-05,2019,CN 201780035220 A,2017-04-26,2016-04-27,Methods and systems for generating factory order forms to control production of nucleotide sequences,ZYMERGEN INC,FREWEN BARBARA;;KIMBALL AARON;;ZACHARY PALCHICK,,https://lens.org/091-900-770-311-222,DISCONTINUED
754,WO,A1,WO 2016/106355 A1,086-041-549-814-206,2016-06-30,2016,US 2015/0067454 W,2015-12-22,2014-12-22,FRONT-END ANALOG SIGNAL PROCESSING FOR CELLULAR COMPUTATION,MASSACHUSETTS INST TECHNOLOGY,DANIEL RAMEZ;;LU TIMOTHY KUAN-TA;;RUBENS JACOB ROSENBLUM,,https://lens.org/086-041-549-814-206,PENDING
755,JP,A,JP 2018512044 A,086-454-087-042-517,2018-05-10,2018,JP 2017542427 A,2016-02-17,2015-02-17,無細胞の生体分子ブレッドボード並びに関連する方法およびアレンジメント,カリフォルニア インスティチュート オブ テクノロジー,ザカリー ゼット サン;;リチャード エム マーレー;;ヴィプル シンハル,,https://lens.org/086-454-087-042-517,ACTIVE
756,US,A1,US 2018/0201628 A1,025-348-038-166-001,2018-07-19,2018,US 201815915415 A,2018-03-08,2014-09-17,Boron-Containing Diacylhydrazine Compounds,INTREXON CORP,JAMES RAY A;;CHELLAPPAN SHEELA K;;HORMANN ROBERT E,,https://lens.org/025-348-038-166-001,ACTIVE
757,KR,A,KR 20190098521 A,098-036-031-887-469,2019-08-22,2019,KR 20180018574 A,2018-02-14,2018-02-14,Chromosomal integration sites for target gene expression and a methods for protein production using the same,AGENCY DEFENSE DEV,KIM SEONG JOO;;CHOI SOO KEUN;;JEONG DA EUN,,https://lens.org/098-036-031-887-469,ACTIVE
758,CN,A,CN 105574358 A,112-233-028-113-444,2016-05-11,2016,CN 201510926583 A,2015-12-14,2015-12-14,System for reproducing in vivo reaction in vitro,UNIV EAST CHINA SCIENCE & TECH,GUAN YUE;;YANG YAN;;ZHANG LIMEI;;ZHUANG YINGPING,,https://lens.org/112-233-028-113-444,INACTIVE
759,CN,A,CN 106244608 A,192-148-352-012-886,2016-12-21,2016,CN 201610643334 A,2016-08-08,2016-08-08,Induced T7 RNA (ribonucleic acid) polymerase,UNIV SCIENCE & TECH CHINA,LIU HAIYAN;;CHEN QUAN;;HAN TIYUN,,https://lens.org/192-148-352-012-886,ACTIVE
760,US,A1,US 2014/0193865 A1,151-464-803-124-375,2014-07-10,2014,US 201314139142 A,2013-12-23,2012-12-31,Methods Of Producing 7-Carbon Chemicals From Long Chain Fatty Acids Via Oxidative Cleavage,INVISTA NORTH AMERICA S Á R I,BOTES ADRIANA LEONORA;;CONRADIE ALEX VAN ECK;;CHEN CHANGLIN;;PEARLMAN PAUL S,INV NYLON CHEMICALS AMERICAS LLC (2020-10-01);;INVISTA NORTH AMERICA LLC (2020-10-01),https://lens.org/151-464-803-124-375,ACTIVE
761,US,A1,US 2013/0189750 A1,012-370-323-574-45X,2013-07-25,2013,US 201313792138 A,2013-03-10,2009-07-27,Biological and Chemical Process Utilizing Chemoautotrophic Microorganisms,RES D B A WESTERN RES INST THE UNIVERSITY OF WYOMING;;UNIV WYOMING RES D B A WESTERN RES INST,JIN SONG;;FALLGREN PAUL;;MORRIS JEFFREY M;;BLAND ALAN E;;RICHARDS PATRICK;;NEWCOMER JESSE D;;COLBERG PATRICIA,THE UNIVERSITY OF WYOMING RESEARCH CORPORATION D/B/A WESTERN RESEARCH INSTITUTE (2010-07-27),https://lens.org/012-370-323-574-45X,DISCONTINUED
762,CN,A,CN 113186190 A,111-490-418-243-974,2021-07-30,2021,CN 202110571089 A,2021-05-25,2021-05-25,Blue light mediated regulation plasmid as well as construction method and application thereof,UNIV HUAZHONG SCIENCE TECH,ZHANG HOUJIN;;YAN YUNJUN;;WANG ZHIQIAN;;GONG MENGYAO;;HAN JUAN;;ZHANG TING,,https://lens.org/111-490-418-243-974,ACTIVE
763,US,B2,US 8673119 B2,042-990-835-757-431,2014-03-18,2014,US 97530710 A,2010-12-21,2008-02-22,Photovoltaic panel-interfaced solar-greenhouse distillation systems,LEE JAMES WEIFU,LEE JAMES WEIFU,,https://lens.org/042-990-835-757-431,INACTIVE
764,CN,A,CN 106754896 A,001-812-842-948-94X,2017-05-31,2017,CN 201710144998 A,2017-03-13,2017-03-13,Synthesis method of rhabdovirus genome and application of rhabdovirus genome in construction of recombinant baculovirus,WUHAN INST OF VIROLOGY CHINESE ACAD OF SCIENCES,SHANG YU;;HU ZHIHONG;;DENG FEI;;WANG MANLI;;WANG HUALIN,,https://lens.org/001-812-842-948-94X,ACTIVE
765,WO,A1,WO 2012/154933 A1,103-632-051-056-144,2012-11-15,2012,US 2012/0037275 W,2012-05-10,2011-05-10,DETECTING INCLUSION BODY MYOSITIS,BRIGHAM & WOMENS HOSPITAL;;CHILDRENS MEDICAL CENTER;;GREENBERG STEVEN A;;SALAJEGHEH MOHAMMAD;;ELLEDGE STEVEN J;;LARMAR HARRY BENJAMIN,GREENBERG STEVEN A;;SALAJEGHEH MOHAMMAD;;ELLEDGE STEVEN J;;LARMAR HARRY BENJAMIN,,https://lens.org/103-632-051-056-144,PENDING
766,US,A1,US 2017/0218407 A1,169-295-806-973-179,2017-08-03,2017,US 201715485173 A,2017-04-11,2008-11-06,Biological and Chemical Process Utilizing Chemoautotrophic Microorganisms for the Chemosynthetic Fixation of Carbon Dioxide and/or Other Inorganic Carbon Sources into Organic Compounds and the Generation of Additional Useful Products,KIVERDI INC,REED JOHN S,,https://lens.org/169-295-806-973-179,DISCONTINUED
767,WO,A1,WO 2008/074087 A1,016-737-571-046-65X,2008-06-26,2008,AU 2007/001976 W,2007-12-20,2006-12-21,METHOD FOR COATING NANOPARTICLES,UNIV WESTERN AUSTRALIA;;IYER SWAMINATHAN;;RASTON COLIN L,IYER SWAMINATHAN;;RASTON COLIN L,,https://lens.org/016-737-571-046-65X,PENDING
768,CN,A,CN 112584699 A,051-420-703-611-344,2021-03-30,2021,CN 201980053945 A,2019-06-27,2018-06-27,"GUIDED MICROBIAL REMODELING, PLATFORM FOR THE RATIONAL IMPROVEMENT OF MICROBIAL SPECIES FOR AGRICULTURE",PIVOT BIO INC,BLOCH SARAH;;TEMME KARSTEN;;TAMSIR ALVIN;;HIGGINS DOUGLAS;;DAVIS-RICHARDSON AUSTIN;;ROGER WILLIAM CLARKE;;GOTTLIEB SHAYIN,,https://lens.org/051-420-703-611-344,PENDING
769,JP,A1,JP WO2018079857 A1,032-313-685-744-887,2019-09-19,2019,JP 2018547235 A,2017-10-31,2016-10-31,ヒト抗体産生非ヒト動物及びそれを用いたヒト抗体作製法,国立大学法人鳥取大学;;株式会社Ｔｒａｎｓ Ｃｈｒｏｍｏｓｏｍｉｃｓ,香月 康宏;;阿部 智志;;押村 光雄,,https://lens.org/032-313-685-744-887,ACTIVE
770,KR,A,KR 20190113649 A,180-413-074-253-928,2019-10-08,2019,KR 20190035199 A,2019-03-27,2018-03-27,Microorganism having increased glycine productivity and method for producing fermented composition using the same,CJ CHEILJEDANG CORP,LEE JI YEON;;CHANG JIN SOOK;;KIM HYUNG JOON;;YOON BYOUNG HOON;;CHOISUN HYOUNG;;CHOI YUNJUNG,,https://lens.org/180-413-074-253-928,ACTIVE
771,CN,A,CN 107384951 A,052-631-684-051-084,2017-11-24,2017,CN 201710576441 A,2017-07-14,2017-07-14,"Gene editing vector for corynebacterium glutamicum, preparation method, system and application thereof",UNIV JIANGNAN,LIU XIUXIA;;PENG FENG;;WANG XINYUE;;SUN YANG;;YANG YANKUN;;BAI ZHONGHU,,https://lens.org/052-631-684-051-084,DISCONTINUED
772,CN,A,CN 114134096 A,124-403-132-416-204,2022-03-04,2022,CN 202210115391 A,2022-02-07,2022-02-07,"3-hydroxybutyric acid, 4-hydroxybutyric acid and 3-hydroxyvalerate terpolymer p (3HB-4HB-3HV) and microbial production thereof",UNIV QINGHUA;;BEIJING MICROSTRUCTURE WORKSHOP BIOTECHNOLOGY CO LTD,CHEN GUOQIANG;;HUANG WUZHE;;HE HONGTAO;;WU FUQING;;LAN YUXUAN,,https://lens.org/124-403-132-416-204,ACTIVE
773,CN,A,CN 112553170 A,118-561-911-055-096,2021-03-26,2021,CN 202011457913 A,2020-12-10,2020-12-10,Phage genome rescue method based on cell-free expression system and application of phage genome rescue method,SHENZHEN INST ADV TECH,MA YINGFEI;;YUAN SHENGJIAN,,https://lens.org/118-561-911-055-096,PENDING
774,WO,A1,WO 2020/243324 A1,106-719-945-502-415,2020-12-03,2020,US 2020/0034949 W,2020-05-28,2019-05-28,APPARATUSES AND METHODS FOR PREPARING A COMESTIBLE MEAT PRODUCT,MEMPHIS MEATS INC,LEUNG MATTHEW;;GODBOLE ASHA;;ENGELMAYR GEORGE;;GENOVESE NICHOLAS;;VALETI UMA;;CARSWELL KATHLEEN,,https://lens.org/106-719-945-502-415,PENDING
775,CN,A,CN 110892073 A,146-835-260-197-701,2020-03-17,2020,CN 201880046293 A,2018-07-10,2017-07-11,Enhanced metabolite-producing yeast,ADISSEO FRANCE SAS,LOUIS DOMINIQUE;;JAILLARDON KARINE;;THOMAS DOMINIQUE,,https://lens.org/146-835-260-197-701,PENDING
776,CN,A,CN 105779482 A,045-800-773-463-313,2016-07-20,2016,CN 201610242160 A,2016-04-19,2016-04-19,"Bacillus gene knockdown carrier plasmid pBD1 based on dCas9, construction and application",UNIV NANYANG NORMAL,ZHANG LIN;;NIU QIUHONG;;GONG SHURONG;;FU QIANG;;HUI FENGLI;;KAN YUNCHAO,,https://lens.org/045-800-773-463-313,ACTIVE
777,EP,A4,EP 3824083 A4,182-679-769-368-212,2022-01-05,2022,EP 19864347 A,2019-09-23,2018-09-24,DESIGN OF ALCOHOL DEHYDROGENASE 2 (ADH2) PROMOTER VARIANTS BY PROMOTER ENGINEERING,ORTA DOGU TEKNIK UNIV,ÇALIK PINAR;;GÜNDÜZ ERGÜN BURCU,,https://lens.org/182-679-769-368-212,PENDING
778,CN,A,CN 102399803 A,099-892-322-901-353,2012-04-04,2012,CN 201110301931 A,2011-09-30,2011-09-30,Improved beta-glucosidase gene and preparation of recombinase thereof,UNIV NANJING FORESTRY,LINGUO ZHAO;;YINCHE ZHOU;;XUN LI,,https://lens.org/099-892-322-901-353,ACTIVE
779,JP,A,JP 2021019625 A,001-422-882-093-081,2021-02-18,2021,JP 2020177718 A,2020-10-23,2015-02-24,BINDING-TRIGGERED TRANSCRIPTIONAL SWITCHES AND METHODS OF USE THEREOF,UNIV CALIFORNIA,WENDELL A LIM;;LEONARDO MORSUT;;KOLE T ROYBAL,,https://lens.org/001-422-882-093-081,PENDING
780,US,A1,US 2016/0326546 A1,014-829-244-644-025,2016-11-10,2016,US 201615146653 A,2016-05-04,2015-05-04,GENERATION OF LAYERED TRANSCRIPTIONAL CIRCUITRY USING CRISPR SYSTEMS,MASSACHUSETTS INST TECHNOLOGY;;RAYTHEON BBN TECHNOLOGIES CORP,KIANI SAMIRA;;WEISS RON;;BEAL JACOB S;;EBRAHIMKHANI MOHAMMAD REZA;;XIE ZHEN;;LI YINQING,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (2016-07-20);;RAYTHEON BBN TECHNOLOGIES CORP (2016-07-25),https://lens.org/014-829-244-644-025,DISCONTINUED
781,WO,A1,WO 1991/006319 A1,060-173-369-068-040,1991-05-16,1991,US 9006177 W,1990-10-26,1989-10-27,METHODS AND COMPOSITIONS FOR PROMOTING IMMUNOPOTENTIATION,ARCH DEV CORP,BLUESTONE JEFFERY A,,https://lens.org/060-173-369-068-040,PATENTED
782,RU,C1,RU 2161200 C1,139-588-752-029-158,2000-12-27,2000,RU 99112241 A,1999-06-03,1999-06-03,METHOD OF PRODUCING OXYTOCIN AND RECOMBINANT PLASMID DNA PTEILOX4 AND STRAIN OF ESCHERICHIA COLI BL21 (DE3)/PTEILOX4 FOR ITS REALIZATION,NA I JU A OVCHINNIKOVA RAN;;INST BIOORG KHIM IM M M SHEMJA,GUREVICH A I;;ESIPOV R S;;MIROSHNIKOV A I;;KAJUSHIN A L;;SHVETS S V;;KOSTROMINA T I,,https://lens.org/139-588-752-029-158,EXPIRED
783,WO,A1,WO 2020/176547 A1,031-234-333-536-644,2020-09-03,2020,US 2020/0019760 W,2020-02-25,2019-02-25,BIOSYNTHESIS OF CANNABINOIDS AND CANNABINOID PRECURSORS,GINKGO BIOWORKS INC,ANDERSON KIM;;BREVNOVA ELENA;;CARLIN DYLAN;;CARVALHO BRIAN;;FLORES NICHOLAS;;FORREST KATRINA;;MCMAHON MATT;;MERIGHI MASSIMO;;RODRIGUEZ GABRIEL;;WRENBECK EMILY,,https://lens.org/031-234-333-536-644,PENDING
784,US,A1,US 2006/0078557 A1,108-900-129-048-284,2006-04-13,2006,US 18004205 A,2005-07-11,1989-10-27,Methods and compositions for promoting immunopotentiation,BLUESTONE JEFFERY A,BLUESTONE JEFFERY A,,https://lens.org/108-900-129-048-284,DISCONTINUED
785,CN,A,CN 106714791 A,143-110-409-696-465,2017-05-24,2017,CN 201580048554 A,2015-09-09,2014-09-09,Inhibition of maturation of dental biofilm and cariogenic properties,KONINKL PHILIPS NV,JANUS MARLEEN MARGA;;KROM BASTIAAN PHILIP;;CRIELAARD WIM;;KEIJSER BART JAN FREDERIK,,https://lens.org/143-110-409-696-465,DISCONTINUED
786,US,B2,US 9719097 B2,127-039-546-473-058,2017-08-01,2017,US 201514860373 A,2015-09-21,2014-12-10,Expression vector for cyanobacteria,KOREA INST SCI & TECH,WOO HAN MIN;;CHWA JUN WON;;UM YOUNGSOON;;GONG GYEONG TAEK;;KIM YUNJE,KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY (2015-08-07),https://lens.org/127-039-546-473-058,ACTIVE
787,WO,A1,WO 1994/006464 A1,152-978-948-342-255,1994-03-31,1994,US 9308800 W,1993-09-17,1992-09-17,COMPOSITIONS AND METHODS FOR INHIBITING HEPATOCYTE INVASION BY MALARIAL SPOROZOITES,UNIV NEW YORK,CERAMI CARLA;;FREVERT UTE;;SINNIS PHOTINI;;NUSSENZWEIG VICTOR,,https://lens.org/152-978-948-342-255,PENDING
788,WO,A1,WO 2023/286891 A1,100-549-316-155-900,2023-01-19,2023,KR 2021009179 W,2021-07-16,2021-07-16,A METHOD FOR TRACKING TRANSPOSITION OF GENETIC MATERIAL,CAS CENTER FOR EXCELLENCE IN MOLECULAR PLANT SCIENCES;;CHO JUNGNAM,CHO JUNGNAM;;KIM EUN YU,,https://lens.org/100-549-316-155-900,PENDING
789,US,A1,US 2016/0115486 A1,019-985-452-555-197,2016-04-28,2016,US 201514926720 A,2015-10-29,2014-06-23,NUCLEASE-MEDIATED DNA ASSEMBLY,REGENERON PHARMA,SCHOENHERR CHRIS;;MCWHIRTER JOHN;;MOMONT COREY;;MACDONALD LYNN;;MURPHY ANDREW J;;WARSHAW GREGG S;;ROJAS JOSE F;;LAI KA-MAN VENUS;;VALENZUELA DAVID M;;MONTAGNA CAITLIN,REGENERON PHARMACEUTICALS INC (2015-11-03),https://lens.org/019-985-452-555-197,ACTIVE
790,CN,A,CN 112375252 A,073-028-983-980-305,2021-02-19,2021,CN 202011250638 A,2020-11-11,2020-11-11,Structure of steric hindrance adjustable weak base light stabilizer and preparation method and application thereof,SHAOXING RUIKANG BIOLOGICAL TECH CO LTD,MAO LIJUAN;;LIU SHUBAI;;ZHAO CHENGSHI;;YIN QIWEI;;DING YIFAN;;WANG YIFEI;;LUO RUI;;CHEN XIUYING;;WANG JIJIANG;;LI JING;;XU CHUNJUAN;;SONG JINGE;;CHEN JUN;;YU MEIYA,,https://lens.org/073-028-983-980-305,ACTIVE
791,WO,A1,WO 2014/146539 A1,034-858-775-020-72X,2014-09-25,2014,CN 2014072894 W,2014-03-05,2013-03-22,MULTI-SECTION DNA MOLECULE ASSEMBLY METHOD AND APPLICATION OF THE METHOD,WUHAN BIORUN BIOTECHNOLOGY LTD LIABILITY COMPANY,LI YANG;;LI YANGSHENG,,https://lens.org/034-858-775-020-72X,PENDING
792,KR,A,KR 20170006521 A,093-946-445-053-668,2017-01-18,2017,KR 20150097250 A,2015-07-08,2015-07-08,Vectors and strains for producing myrcene and method of producing myrcene using the same,KOREA INST SCI & TECH,WOO HAN MIN;;KIM EUN MI;;UM YOUNG SOON;;GONG GYEONG TAEK;;LEE SUN MI;;KIM YUN JE,,https://lens.org/093-946-445-053-668,ACTIVE
793,KR,A,KR 20140137584 A,077-268-417-173-726,2014-12-03,2014,KR 20130058259 A,2013-05-23,2013-05-23,METHOD FOR CULTIVATING PHOTOSYNTHETIC MICROORGANISM IN HIGH CONCENTRATION USING SEMIPERMEABLE MEMBRANE AND METHOD FOR PRODUCING FATTY ACID USING THE SAME,KOREA ENERGY RESEARCH INST;;INTELLIGENT SYNTHETIC BIOLOGY CT,KIM MI SUN;;KIM DONG HOON;;LEE JUN HYOUNG,,https://lens.org/077-268-417-173-726,ACTIVE
794,US,A1,US 2022/0227817 A1,034-300-569-032-268,2022-07-21,2022,US 202217648655 A,2022-01-21,2021-01-21,"ENGINEERED GLOBULAR ENDOLYSIN, A HIGHLY POTENT ANTIBACTERIAL ENZYME FOR MULTIDRUG RESISTANT GRAM-NEGATIVE BACTERIA",UNIV HONG KONG CHINESE,XIA JIANG;;LEUNG SHUI YEE SHARON;;CHEN XI;;LIU MIAO,THE CHINESE UNIVERSITY OF HONG KONG (2023-02-10),https://lens.org/034-300-569-032-268,PENDING
795,WO,A1,WO 2019/092442 A1,137-449-860-491-814,2019-05-16,2019,GB 2018053262 W,2018-11-12,2017-11-13,CELL,AUTOLUS LTD,THOMAS SIMON;;PULÉ MARTIN;;SMITH PAUL;;GANNON ISAAC;;BALLAND WILLIAM,,https://lens.org/137-449-860-491-814,PENDING
796,CN,A,CN 106566850 A,092-865-745-425-098,2017-04-19,2017,CN 201610976350 A,2016-11-07,2016-11-07,Biological preparation method of valienamine,UNIV SHANGHAI JIAOTONG,FENG YAN;;CUI LI;;BAI LINQUAN;;DENG ZIXIN;;LIU ZHANGMIN,,https://lens.org/092-865-745-425-098,ACTIVE
797,CN,A,CN 103687880 A,133-756-920-306-698,2014-03-26,2014,CN 201280029248 A,2012-08-10,2011-08-10,Amphipathic peptide-lipase conjugate having advanced lipase activity and use thereof,KOREA INST SCI & TECH;;INTELLIGENT SYNTHETIC BIOLOGY CT,KIM SUN-CHANG;;SUNG BONG-HYUN;;YANG KYUNG-SEOK;;LEE JUN-HYOUNG;;LIM KI-JUNG;;PARK MYUNG-KEUN,,https://lens.org/133-756-920-306-698,ACTIVE
798,CN,A,CN 109652473 A,003-674-778-126-094,2019-04-19,2019,CN 201710936975 A,2017-10-10,2017-10-10,Method for preparing inositol-1-phosphate,TIANJIN INST IND BIOTECHNOLOGY CAS,ZHANG YIHENG;;LI YUNJIE,,https://lens.org/003-674-778-126-094,DISCONTINUED
799,WO,A1,WO 2018/186704 A1,014-080-016-142-339,2018-10-11,2018,KR 2018004038 W,2018-04-05,2017-04-06,METHOD FOR QUANTITATIVELY CONTROLLING PLASMID COPY NUMBER IN ANTIBIOTIC-FREE PLASMID MAINTENANCE SYSTEM,POSTECH ACAD IND FOUND;;SEOUL NAT UNIV R&DB FOUNDATION,JUNG GYOO YEOL;;SEO SANG WOO;;KANG CHAE WON;;LIM HYUN GYU,,https://lens.org/014-080-016-142-339,PENDING
800,GB,A,GB 2471693 A,009-440-346-080-80X,2011-01-12,2011,GB 0911892 A,2009-07-08,2009-07-08,Parathyroid hormone related protein antagonists,COMPLIX NV,VANWETSWINKEL SOPHIE;;GELDER PATRICK VAN;;LOVERIX STEFAN;;DESMET JOHAN;;LASTERS IGNACE,,https://lens.org/009-440-346-080-80X,DISCONTINUED
801,CN,A,CN 111944886 A,082-334-059-222-834,2020-11-17,2020,CN 202010856883 A,2020-08-24,2020-08-24,Method and kit for synthesizing oligodeoxyribonucleotide,BEIJING TSINGKE BIOTECHNOLOGY CO LTD,MA SHIJIN;;WANG JIAN,,https://lens.org/082-334-059-222-834,ACTIVE
802,US,B2,US 11046990 B2,115-136-401-101-922,2021-06-29,2021,US 201816057617 A,2018-08-07,2017-08-09,Increased production of ginsenosides through improvement of protein-folding machinery of yeast,INTELLIGENT SYNTHETIC BIOLOGY CT;;KOREA RES INST CHEMICAL TECH,KIM SUN-CHANG;;LEE JU YOUNG;;JANG IN SEUNG;;KIM SEOHYUN;;JEGAL JONG GEON,KOREA RESEARCH INSTITUTE OF CHEMICAL TECHNOLOGY (2018-08-16);;INTELLIGENT SYNTHETIC BIOLOGY CENTER (2018-08-20),https://lens.org/115-136-401-101-922,ACTIVE
803,CN,A,CN 111304179 A,016-723-686-836-814,2020-06-19,2020,CN 201811519175 A,2018-12-12,2018-12-12,Primer and method for preparing pesticide degrading enzyme by utilizing genetic engineering,SHANGHAI SENTRY BIOTECHNOLOGY CO LTD,ZHANG HAN;;ZHANG JIAYUAN;;XIE ZHIFANG;;LI HANG,,https://lens.org/016-723-686-836-814,PENDING
804,CN,A,CN 111269311 A,089-412-556-208-019,2020-06-12,2020,CN 201910955429 A,2019-10-09,2019-09-30,Enhanced synthetic Notch receptor and application thereof,UNIV FUDAN,CAI LIANG;;YANG ZIJIE,,https://lens.org/089-412-556-208-019,PENDING
805,WO,A1,WO 2017/100655 A1,174-165-092-579-166,2017-06-15,2017,US 2016/0065944 W,2016-12-09,2015-12-10,MONOTERPENE-PRODUCING GENETICALLY MODIFIED HOST CELLS AND METHODS OF USE OF SAME,UNIV CALIFORNIA,DENBY CHARLES M;;KEASLING JAY D;;KIRBY JAMES;;LI RACHEL ALEXANDRA,,https://lens.org/174-165-092-579-166,PENDING
806,LT,B,LT 6742 B,085-380-203-288-640,2020-07-10,2020,LT 2018542 A,2018-10-10,2018-10-10,CATALYTIC BIOMOLECULE ACTIVITY RECORDING INTO DNA SEQUENCE,UNIV VILNIUS;;UAB BIOMATTER DESIGNS,KARPUS LAURYNAS;;MAŽELIS IGNAS;;ROKAITIS IRMANTAS;;JAUNIŠKIS VYKINTAS;;MEŠKYS ROLANDAS,,https://lens.org/085-380-203-288-640,ACTIVE
807,CN,A,CN 113388607 A,119-268-347-221-930,2021-09-14,2021,CN 202110554148 A,2021-05-20,2021-05-20,Synthetic method and application of complex DNA,BEIJING TSINGKE BIOTECHNOLOGY CO LTD;;NANJING QINGKE BIOLOGICAL TECH CO LTD,MA SHIJIN;;XIAO XIAOWEN;;WU YOULIN;;XIE TIAN;;DU JUN,,https://lens.org/119-268-347-221-930,ACTIVE
808,WO,A1,WO 2022/099082 A1,138-848-092-271-986,2022-05-12,2022,US 2021/0058346 W,2021-11-05,2020-11-05,FIBER-OPTIC INTEGRATED TEXTILES WITH EMBEDDED FREEZE-DRIED CELL-FREE REACTIONS FOR WEARABLE SENSORS,HARVARD COLLEGE;;MASSACHUSETTS INST TECHNOLOGY,NGUYEN PETER;;SOENKSEN LUIS;;COLLINS JAMES;;DONGHIA NINA;;ANGENENT-MARI NICOLAAS;;GUIXE HELENA;;HUANG ALLY,,https://lens.org/138-848-092-271-986,PENDING
809,CN,A,CN 107022546 A,059-893-599-856-552,2017-08-08,2017,CN 201610071572 A,2016-02-01,2016-02-01,Gene loop induction expression regulating method,UNIV EAST CHINA NORMAL,YE HAIFENG;;XUE SHUAI;;YIN JIANLI;;SHAO JIAWEI;;YANG LINFENG;;WANG YIDAN,,https://lens.org/059-893-599-856-552,ACTIVE
810,CN,A,CN 109415723 A,056-752-942-149-655,2019-03-01,2019,CN 201780027105 A,2017-02-28,2016-03-01,IMPROVED PROMOTERS AND COMPOSITIONS,UNIV OXFORD INNOVATION LTD,BAYLEY HAGAN;;BOOTH MICHAEL,,https://lens.org/056-752-942-149-655,PENDING
811,EP,A4,EP 3074504 A4,013-108-472-778-280,2017-05-03,2017,EP 14864741 A,2014-11-25,2013-11-25,METHODS FOR ENHANCING MICROBIAL PRODUCTION OF SPECIFIC LENGTH FATTY ALCOHOLS IN THE PRESENCE OF METHANOL,GENOMATICA INC,OSTERHOUT ROBIN E;;BURGARD ANTHONY P;;PHARKYA PRITI;;ANDRAE STEFAN,,https://lens.org/013-108-472-778-280,PENDING
812,US,B1,US 6194601 B1,004-266-951-724-754,2001-02-27,2001,US 39797599 A,1999-09-16,1998-09-24,"5,6-dihydronaphthalenyl derivatives having retinoid-like activity",BRISTOL MYERS SQUIBB CO,MARINIER ANNE;;HEI YONG-JIANG;;LAPOINTE PHILIPPE;;DARIS JEAN-PAUL,BRISTOL-MYERS SQUIBB COMPANY (1999-10-02),https://lens.org/004-266-951-724-754,EXPIRED
813,EP,A1,EP 4140974 A1,194-666-081-072-846,2023-03-01,2023,EP 22191626 A,2022-08-23,2021-08-23,METHODS OF IRON CATALYZED C-H BOND AMINATION,UNIV HONG KONG;;LABORATORY FOR SYNTHETIC CHEMISTRY AND CHEMICAL BIOLOGY LTD,CHE CHI MING;;YOU TINGJIE,LABORATORY FOR SYNTHETIC CHEMISTRY AND CHEMICAL BIOLOGY LIMITED (2023-04-19);;VERSITECH LIMITED (2023-04-19),https://lens.org/194-666-081-072-846,PENDING
814,CN,A,CN 111304141 A,071-319-996-328-516,2020-06-19,2020,CN 202010185474 A,2020-03-17,2020-03-17,"Recombinant escherichia coli for producing N-acetyl-5-hydroxytryptamine, and construction method and application of recombinant escherichia coli",INST MICROBIOLOGY CAS,DONG ZHIYANG;;ZHANG YANFENG;;ZHANG SHAN;;HE YONGZHI;;ZHANG NAN,,https://lens.org/071-319-996-328-516,ACTIVE
